country,messages_billed_us,minutes_billed_us,us_revenue_billed_us,payout_billed_us,retained_revenue_billed_us,messages_term_us,minutes_term_us,reciepts_foreign_term_us,reciepts_foreign_trans_us,payout_trans_us,retained_revenue_trans_us,retained_revenue_total,latitude,longitude,region,symsize,gid,sum_region,pct_country,pct_region,geom
Suriname,7275475,26774833,3787763,6281201,-2493438,781860,2424987,36155,101324,36945,64379,-2392904,3.919305,-56.027783,South America,4,220,5068671356,0.53,99.47,
Uruguay,7562588,55272710,5986046,3549805,2436241,705185,13262573,329001,528634,125,528509,3293751,-32.522779,-55.765835,South America,4,221,5068671356,1.09,98.91,
Austria,11608292,59206400,6942471,4314491,2627980,3015503,17233957,580388,2163782,456,2163326,5371694,47.516231,14.550072,Western Europe,4,224,6219503114,0.95,99.05,
Denmark,14702280,68246645,5515297,2453358,3061939,342176,4797418,181443,2670627,1259,2669368,5912750,56.26392,9.501785,Western Europe,4,227,6219503114,1.10,98.90,
Finland,6482663,40211348,3490402,2993777,496625,1159582,6338077,90660,101448,1466,99982,687267,61.92411,25.748151,Western Europe,4,228,6219503114,0.65,99.35,
Angola,6437910,23204403,4911848,2626883,2284965,154404,803904,18426,47171,1135,46036,2349427,-11.202692,17.873887,Africa,5,2,2382080338,0.97,99.03,
Botswana,2871156,10228169,1343081,1549943,-206862,156629,787761,26702,922,80,842,-179318,-22.328474,24.684866,Africa,5,4,2382080338,0.43,99.57,
Burkina,3446550,11125710,2114900,1839334,275566,540113,2261844,117625,9262,1515,7747,400938,12.238333,-1.561593,Africa,5,5,2382080338,0.47,99.53,
Gambia,5621194,21493862,7005468,7020504,-15036,,973039,301973,17009,2556,14453,301390,13.443182,-15.310139,Africa,5,20,2382080338,0.90,99.10,
Liberia,3953652,19239404,3756468,3023510,732958,,90559,13041,2003,805,1198,747197,6.428055,-9.429499,Africa,5,26,2382080338,0.81,99.19,
Malawi,7291648,15127221,1419460,1296610,122850,167494,1171666,59543,1875,73,1802,184195,-13.254308,34.301525,Africa,5,29,2382080338,0.64,99.36,
Mauritius,2090024,11248035,1097358,637673,459685,110962,15539238,631112,241086,456,240630,1331427,-20.348404,57.552152,Africa,5,32,2382080338,0.47,99.53,
Mozambique,10942433,14410429,1549903,1272971,276932,13,549964,11395,363,105,258,288585,-18.665695,35.529562,Africa,5,34,2382080338,0.60,99.40,
Niger,4296632,13655206,2244411,1939737,304674,,15252,1822,855575,8,855567,1162063,17.607789,8.081666,Africa,5,36,2382080338,0.57,99.43,
Tanzania,4284205,19009458,3524557,3342427,182130,94803,915563,79198,1721729,210439,1511290,1772618,-6.369028,34.888822,Africa,5,49,2382080338,0.80,99.20,
Togo,6854096,23385265,6424074,6384870,39204,,882368,227307,12852,2953,9899,276410,8.619543,0.824782,Africa,5,50,2382080338,0.98,99.02,
Zambia,2997763,16966514,1697479,1410411,287068,2634,1279887,54097,428690,668,428022,769187,-13.133897,27.849332,Africa,5,55,2382080338,0.71,99.29,
Brunei,2739859,12735450,355200,267944,87256,130129,539897,8024,723,146,577,95857,4.535277,114.727669,Asia,5,60,22114816739,0.06,99.94,
Burma,9325800,23555194,5307976,8464321,-3156345,21,241812,43186,11922,1248,10674,-3102485,21.913965,95.956223,Asia,5,61,22114816739,0.11,99.89,
Antigua and Barbuda,6836363,22508388,2909732,2488085,421647,187117,841524,14523,116346,45119,71227,507397,17.060816,-61.796428,Caribean,5,86,3779061301,0.60,99.40,
Aruba,4898683,13540921,2205289,1985481,219808,1901039,5219100,38632,222724,119688,103036,361476,12.52111,-69.968338,Caribean,5,87,3779061301,0.36,99.64,
Grenada,3088953,14686212,2313216,1869718,443498,152752,656296,17340,34786,14569,20217,481055,12.1165,-61.679,Caribean,5,96,3779061301,0.39,99.61,
Saint Kitts and Nevis,4467721,12600545,2315041,2004948,310093,65196,291606,10519,189541,91880,97661,418273,17.357822,-62.782998,Caribean,5,102,3779061301,0.33,99.67,
Saint Lucia,4453013,17749308,2936843,2812809,124034,197942,913618,35482,148846,74736,74110,233626,13.909444,-60.978893,Caribean,5,103,3779061301,0.47,99.53,
Turks and Caicos Islands,3977652,10442351,2589774,1488426,1101348,692204,1842779,20774,4117,2248,1869,1123991,21.694025,-71.797928,Caribean,5,106,3779061301,0.28,99.72,
British Virgin Islands,5634772,11140391,2433655,1585304,848351,3211515,8275272,211007,44825,24713,20112,1079470,18.420695,-64.639968,Caribean,5,107,3779061301,0.29,99.71,
U.S. Virgin Islands,4172874,20162431,193860,180749,13111,,333554,3085,95978,22713,73265,89461,18.335765,-64.896335,Caribean,5,110,3779061301,0.53,99.47,
Albania,3593027,22513517,2503191,2432157,71034,35901,3288688,88370,27840,182,27658,187062,41.153332,20.168331,Eastern Europe,5,111,1670724339,1.35,98.65,
Armenia,4044002,24613569,2012425,2259462,-247037,13317,279606,16630,1289,171,1118,-229289,40.069099,45.038189,Eastern Europe,5,112,1670724339,1.47,98.53,
Belarus,3433252,15666338,3950381,5424533,-1474152,36763,369280,30163,2642,1091,1551,-1442438,53.709807,27.953389,Eastern Europe,5,114,1670724339,0.94,99.06,
Bosnia and Herzegovina,3049408,22871919,3790550,2991984,798566,196346,1829948,99022,241508,59,241449,1139037,43.915886,17.679076,Eastern Europe,5,115,1670724339,1.37,98.63,
Nauru,53156,157030,93539,63705,29834,,2676,2192,60,8,52,32078,-0.522778,166.931503,Oceania,7,169,770323435,0.02,99.98,
Estonia,4564510,14938650,5256864,4064116,1192748,236668,1424371,147253,903,387,516,1340517,58.595272,25.013607,Eastern Europe,5,119,1670724339,0.89,99.11,
Georgia,3842609,14306866,1192953,750008,442945,684139,1435003,14507,695,553,142,457594,42.315407,43.356892,Eastern Europe,5,120,1670724339,0.86,99.14,
Latvia,2780308,18388257,7609384,5729349,1880035,163270,1170885,49899,141392,180,141212,2071146,56.879635,24.603189,Eastern Europe,5,124,1670724339,1.10,98.90,
Lithuania,1777867,15618002,5184264,3697064,1487200,108056,1018359,13685,119678,156,119522,1620407,55.169438,23.881275,Eastern Europe,5,125,1670724339,0.93,99.07,
Moldova,3936651,12287634,1535876,1629881,-94005,4848,85409,8226,293717,6922,286795,201016,47.411631,28.369885,Eastern Europe,5,126,1670724339,0.74,99.26,
Slovakia,2082189,15882894,2445636,686865,1758771,1123418,6107766,61795,600033,1025,599008,2419574,48.669026,19.699024,Eastern Europe,5,131,1670724339,0.95,99.05,
Slovenia,2354596,15653727,4690741,3940220,750521,413368,2287076,91690,99986,111,99875,942086,46.151241,14.995463,Eastern Europe,5,132,1670724339,0.94,99.06,
Bahrain,4272525,18743064,1865267,790590,1074677,3722663,12388966,101166,724229,68190,656039,1831882,26.0667,50.5577,Middle East,5,137,1425303635,1.32,98.68,
Oman,6063389,19695880,4392531,4016053,376478,1076267,4393861,66670,57502,29988,27514,470662,21.512583,55.923255,Middle East,5,144,1425303635,1.38,98.62,
United States (conterminous),2331282,15441168,784435,225120,559315,16662605,60081274,21798,0,0,0,581113,38.1132523,-121.4955075,North and Central America,5,161,18915487279,0.08,99.92,
Fiji,2317031,14139729,2485751,2284746,201005,154502,2212936,244008,8710,80,8630,453643,-17.713371,178.065032,Oceania,5,164,770323435,1.84,98.16,
Federated States of Micronesia,2372128,15150035,2994327,1666916,1327411,32130,515341,6791,240,73,167,1334369,6.8874574,158.2150717,Oceania,5,168,770323435,1.97,98.03,
Papua New Guinea,3651951,16978460,3137319,2349108,788211,,249391,115829,284,723,-439,903601,-6.314993,143.95555,Oceania,5,175,770323435,2.20,97.80,
Northern Mariana Islands,1954699,14256912,308346,199160,109186,,1136,24,2303,12,2291,111501,15.0979,145.6739,Oceania,5,191,770323435,1.85,98.15,
Cyprus,2349961,13412584,851303,335534,515769,1310390,7286076,74883,205465,20113,185352,776004,35.126413,33.429859,Western Europe,5,226,6219503114,0.22,99.78,
Luxembourg,6340709,24049203,1510384,674381,836003,4792304,32958468,366390,6104760,318,6104442,7306835,49.815273,6.129583,Western Europe,5,238,6219503114,0.39,99.61,
Benin,2063513,7661617,1267435,1104536,162899,121423,871898,42145,165389,92,165297,370341,9.30769,2.315834,Africa,6,3,2382080338,0.32,99.68,
Burundi,1369885,8399868,749822,550406,199416,,524848,34592,51314,1824,49490,283498,-3.373056,29.918886,Africa,6,6,2382080338,0.35,99.65,
Cape Verde,1495302,9515897,1709549,1696287,13262,421,75557,10887,209,221,-12,24137,15.1217288,-23.6050817,Africa,6,9,2382080338,0.40,99.60,
Central African Republic,699662,1932205,559860,542810,17050,,77815,19710,0,0,0,36760,6.611111,20.939444,Africa,6,10,2382080338,0.08,99.92,
Chad,2382460,7345009,1194368,1195842,-1474,,24883,4480,4646,3704,942,3948,15.454166,18.732207,Africa,6,11,2382080338,0.31,99.69,
Comoros,663394,3513924,983687,1020126,-36439,7215,56855,5235,224364,0,224364,193160,-11.6455,43.3333,Africa,6,12,2382080338,0.15,99.85,
Congo,2560122,6749177,2042786,1921257,121529,,296858,74172,17678,4907,12771,208472,-0.228021,15.827659,Africa,6,13,2382080338,0.28,99.72,
Djibouti,606669,1935233,691547,749814,-58267,92635,305908,9533,1924,0,1924,-46810,11.825138,42.590275,Africa,6,15,2382080338,0.08,99.92,
Equatorial Guinea,1565310,4106209,872797,698036,174761,93363,291803,18687,336,55,281,193729,1.650801,10.267895,Africa,6,17,2382080338,0.17,99.83,
Gabon,1402179,5339716,1287032,928097,358935,413590,1208339,134106,1525756,217,1525539,2018580,-0.803689,11.609444,Africa,6,19,2382080338,0.22,99.78,
Guinea-Bissau,458059,1639889,557364,626438,-69074,,4744,1200,265,16,249,-67625,11.803749,-15.180413,Africa,6,23,2382080338,0.07,99.93,
Lesotho,761928,1770729,302768,241918,60850,5498,32483,2056,100432,49,100383,163289,-29.609988,28.233608,Africa,6,25,2382080338,0.07,99.93,
Madagascar,1646179,4782751,2567588,3025526,-457938,,110539,24358,1092,457,635,-432945,-18.766947,46.869107,Africa,6,28,2382080338,0.20,99.80,
Mauritania,2126908,7392553,1702044,1741855,-39811,60,499501,25748,134,129,5,-14058,21.00789,-10.940835,Africa,6,31,2382080338,0.31,99.69,
Namibia,1039771,4201446,693292,568427,124865,32,241908,10049,1045,462,583,135497,-22.95764,18.49041,Africa,6,35,2382080338,0.18,99.82,
Reunion,840082,2239332,331922,386887,-54965,,15619,1073,199,76,123,-53769,-21.115141,55.536384,Africa,6,38,2382080338,0.09,99.91,
Rwanda,1054506,6030150,752905,579636,173269,,263496,22661,345,40,305,196235,-1.940278,29.873888,Africa,6,39,2382080338,0.25,99.75,
Sao Tome and Principe,1070879,1739974,1652476,1939042,-286566,,893,708,2177,368,1809,-284049,0.18636,6.613081,Africa,6,41,2382080338,0.07,99.93,
Seychelles,426568,1919126,398116,197861,200255,,146212,6762,23346,637,22709,229726,-4.679574,55.491977,Africa,6,43,2382080338,0.08,99.92,
Swaziland,1755478,4286319,575043,498996,76047,73010,345035,10377,416,1,415,86839,-26.522503,31.465866,Africa,6,48,2382080338,0.18,99.82,
Western Sahara,215724,1160959,226309,270728,-44419,0,0,0,0,0,0,-44419,24.215527,-12.885834,Africa,6,53,2382080338,0.05,99.95,
North Korea,1464105,9766595,3974099,3371389,602710,,303807,161158,17232,120527,-103295,660573,40.339852,127.510093,Asia,6,70,22114816739,0.04,99.96,
Niue,8928,20909,11903,11015,888,,2781,1589,9,0,9,2486,-19.054445,-169.867233,Oceania,7,172,770323435,0.00,100.00,
Macau,2172725,7305900,455253,743595,-288342,5486165,20473058,509215,39223,274,38949,259822,22.198745,113.543873,Asia,6,73,22114816739,0.03,99.97,
Maldives,3903876,9026626,4085653,5825616,-1739963,27612,118677,16547,19398,3842,15556,-1707860,3.9870284,73.4977747,Asia,6,75,22114816739,0.04,99.96,
Mongolia,1045064,5763823,466581,351680,114901,73811,341543,6536,7698,87,7611,129048,46.862496,103.846656,Asia,6,76,22114816739,0.03,99.97,
Anguilla,744138,2070736,485158,294606,190552,55962,226023,2962,207716,98049,109667,303181,18.220554,-63.068615,Caribean,6,85,3779061301,0.05,99.95,
French Overseas Departments,2104762,5825602,1352279,474257,878022,,135454,2501,36786,11407,25379,905902,0,0,Caribean,6,95,3779061301,0.15,99.85,
Guadeloupe,3043708,7601462,763472,915351,-151879,,195117,3004,660333,279116,381217,232342,16.265,-61.551,Caribean,6,97,3779061301,0.20,99.80,
Montserrat,491107,2006110,265908,220833,45075,21719,90398,1797,11078,3761,7317,54189,16.742498,-62.187366,Caribean,6,100,3779061301,0.05,99.95,
Saint Vincent and the Grenadines,1705714,9118763,1714283,1320468,393815,2405,488939,70290,50105,23775,26330,490435,13.2533835,-61.19595,Caribean,6,104,3779061301,0.24,99.76,
Azerbaijan,3660130,7963929,1717968,1978718,-260750,329786,910982,18065,552,88,464,-242221,40.143105,47.576927,Eastern Europe,6,113,1670724339,0.48,99.52,
Kyrgyzstan,2135365,7980954,840725,647089,193636,,74531,6265,276,26,250,200151,41.20438,74.766098,Eastern Europe,6,123,1670724339,0.48,99.52,
Tajikistan,1830792,3833577,460916,414683,46233,,197441,15343,584,1585,-1001,60575,38.861034,71.276093,Eastern Europe,6,133,1670724339,0.23,99.77,
Wake Island,0,0,0,0,0,0,0,0,591,140,451,451,19.2854467,166.6499348,Oceania,7,193,770323435,0.00,100.00,
Turkmenistan,852233,2980295,305050,287880,17170,0,0,0,259,3,256,17426,38.969719,59.556278,Eastern Europe,6,134,1670724339,0.18,99.82,
French Polynesia,1151928,4335087,1078823,852723,226100,102273,352723,20244,204,56,148,246492,-17.679742,-149.406843,Oceania,6,165,770323435,0.56,99.44,
Marshall Islands,1101988,5270242,1081066,1081437,-371,962,17365,953,39,34,5,587,7.131474,171.184478,Oceania,6,167,770323435,0.68,99.32,
New Caledonia,373266,1612280,266267,250184,16083,,76430,10681,415,69,346,27110,-20.904305,165.618042,Oceania,6,170,770323435,0.21,99.79,
Pacific Islands (Palau),999287,8615202,1305515,932259,373256,62922,77770,6773,77,5,72,380101,0,0,Oceania,6,174,770323435,1.12,98.88,
Tonga,993147,5657972,1589832,1709864,-120032,,301186,82764,662,3,659,-36609,-21.178986,-175.198242,Oceania,6,177,770323435,0.73,99.27,
Western Samoa,738696,4546423,1221093,1179448,41645,64685,642693,97706,1,1,0,139351,-13.759029,-172.104629,Oceania,6,181,770323435,0.59,99.41,
American Samoa,1012891,8028168,515118,377286,137832,795287,2016439,81842,39730,2064,37666,257340,-14.305941,-170.6962002,Oceania,6,182,770323435,1.04,98.96,
Hawaii,349689,2176982,143325,37056,106269,0,0,0,0,0,0,106269,19.8967662,-155.5827818,Oceania,6,185,770323435,0.28,99.72,
Antarctica,1214219,2749433,187676,265654,-77978,,40,30,2,0,2,-77946,-82.8627519,-135,Other Regions,6,194,73755935,3.73,96.27,
Maritime-other oceans,698282,1123456,2462190,2117441,344749,,11163,41158,0,0,0,385907,0,0,Other Regions,6,196,73755935,1.52,98.48,
American Samoa,1165391,3102501,847152,847152,0,68843,224031,37707,0,0,0,37707,-14.305941,-170.6962002,Other Regions,6,198,73755935,4.21,95.79,
French Guiana,5360714,6643395,961058,1255561,-294503,,20067,450,9455,3950,5505,-288548,3.933889,-53.125782,South America,6,216,5068671356,0.13,99.87,
Gibraltar,298583,1106199,153290,78800,74490,47241,280393,5897,22403,746,21657,102044,36.137741,-5.345374,Western Europe,6,231,6219503114,0.02,99.98,
Iceland,1442413,8884250,672099,363799,308300,314637,3156069,63661,122,15,107,372068,64.963051,-19.020835,Western Europe,6,234,6219503114,0.14,99.86,
Liechtenstein,1185310,7650345,2064776,3561800,-1497024,,10919,772,7471,160,7311,-1488941,47.166,9.555373,Western Europe,6,237,6219503114,0.12,99.88,
Malta,859630,4328608,830676,246567,584109,172051,2586863,37334,1603,417,1186,622629,35.937496,14.375416,Western Europe,6,239,6219503114,0.07,99.93,
Canary Island,0,0,0,0,0,0,0,0,0,0,0,0,44.3658854,-75.8768999,Africa,7,8,2382080338,0.00,100.00,
Saint Helena,27564,36166,47627,25836,21791,2,223,121,1404,605,799,22711,38.5052429,-122.4703868,Africa,7,40,2382080338,0.00,100.00,
Bhutan,141839,758616,82354,59627,22727,,13493,1164,11099,909,10190,34081,27.514162,90.433601,Asia,7,59,22114816739,0.00,100.00,
Chagos Archipelago,217782,442548,428074,217578,210496,564,4879,352,9272,624,8648,219496,-6,72,Asia,7,63,22114816739,0.00,100.00,
French Southern and Antarctic Lands,1333,9844,2187,482,1705,0,0,0,0,0,0,1705,-49.280366,69.348557,Asia,7,65,22114816739,0.00,100.00,
Navassa Island,0,0,0,0,0,0,0,0,0,0,0,0,18.4100689,-75.0114612,Caribean,7,108,3779061301,0.00,100.00,
Puerto Rico,3226,35550,1615,456,1159,0,0,0,0,0,0,1159,18.220833,-66.590149,Caribean,7,109,3779061301,0.00,100.00,
Alaska,5347,43380,2377,1095,1282,0,0,0,0,0,0,1282,64.2008413,-149.4936733,North and Central America,7,160,18915487279,0.00,100.00,
Saint Pierre and Miquelon,29966,67306,16023,16922,-899,,2006,365,149,1,148,-386,46.8852,-56.3159,North and Central America,7,159,18915487279,0.00,100.00,
Cook Islands,232771,778730,408592,292300,116292,,17400,9178,2,0,2,125472,-21.236736,-159.777671,Oceania,7,163,770323435,0.10,99.90,
Kiribati,106894,425190,197412,169671,27741,,3808,1857,3,0,3,29601,1.8668577,-157.3599202,Oceania,7,166,770323435,0.06,99.94,
Norfolk Island,26981,126998,122506,103688,18818,,9184,7935,2027,0,2027,28780,-29.040835,167.954712,Oceania,7,173,770323435,0.02,99.98,
Solomon Islands,130026,429383,330457,328236,2221,,43458,36168,197,180,17,38406,-9.64571,160.156194,Oceania,7,176,770323435,0.06,99.94,
Tuvalu,78196,218013,137953,127077,10876,,702,531,14,1,13,11420,-10.7280717,179.4726562,Oceania,7,178,770323435,0.03,99.97,
Vanuatu,239030,611838,290215,211776,78439,,26620,10392,154,76,78,88909,-15.376706,166.959158,Oceania,7,179,770323435,0.08,99.92,
Wallis and Futuna,13071,28492,12213,10119,2094,,763,253,3,0,3,2350,-14.2938,-178.1165,Oceania,7,180,770323435,0.00,100.00,
Baker Island,0,0,0,0,0,0,0,0,0,0,0,0,55.3857232,-133.5603123,Oceania,7,183,770323435,0.00,100.00,
Howland Island,0,0,0,0,0,0,0,0,0,0,0,0,0.8065705,-176.6182736,Oceania,7,186,770323435,0.00,100.00,
Jarvis Island,0,0,0,0,0,0,0,0,0,0,0,0,-0.3810415,-160.017563,Oceania,7,187,770323435,0.00,100.00,
Johnston Atoll,0,0,0,0,0,0,0,0,0,0,0,0,16.7322716,-169.5308371,Oceania,7,188,770323435,0.00,100.00,
Kingman Reef,0,0,0,0,0,0,0,0,0,0,0,0,6.4125256,-162.3759767,Oceania,7,189,770323435,0.00,100.00,
Midway Atoll,0,0,0,0,0,0,0,0,0,0,0,0,36.2826889,-82.4596547,Oceania,7,190,770323435,0.00,100.00,
Palmyra Atoll,0,0,0,0,0,0,0,0,0,0,0,0,5.8811111,-162.0725,Oceania,7,192,770323435,0.00,100.00,
Maritime-Atlantic,65956,298132,436033,337810,98223,0,0,0,2923,1713,1210,99433,44.6476401,-63.571169,Other Regions,7,195,73755935,0.40,99.60,
Maritime-Pacific,90422,224010,274162,226541,47621,0,0,0,0,0,0,47621,47.5876968,-122.3393056,Other Regions,7,197,73755935,0.30,99.70,
Baker Island,0,0,0,0,0,0,0,0,0,0,0,0,55.3857232,-133.5603123,Other Regions,7,199,73755935,0.00,100.00,
Howland Island,0,0,0,0,0,0,0,0,0,0,0,0,0.8065705,-176.6182736,Other Regions,7,200,73755935,0.00,100.00,
Jarvis Island,0,0,0,0,0,0,0,0,0,0,0,0,-0.3810415,-160.017563,Other Regions,7,201,73755935,0.00,100.00,
Johnston Atoll,0,0,0,0,0,0,0,0,0,0,0,0,16.7322716,-169.5308371,Other Regions,7,202,73755935,0.00,100.00,
Kingman Reef,0,0,0,0,0,0,0,0,0,0,0,0,6.4125256,-162.3759767,Other Regions,7,203,73755935,0.00,100.00,
Midway Atoll,0,0,0,0,0,0,0,0,0,0,0,0,36.2826889,-82.4596547,Other Regions,7,204,73755935,0.00,100.00,
Navassa Island,0,0,0,0,0,0,0,0,0,0,0,0,18.4100689,-75.0114612,Other Regions,7,205,73755935,0.00,100.00,
Palmyra Atoll,0,0,0,0,0,0,0,0,0,0,0,0,5.8811111,-162.0725,Other Regions,7,207,73755935,0.00,100.00,
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,19.2854467,166.6499348,Other Regions,7,208,73755935,0.00,100.00,
Andorra,156481,570577,59649,46440,13209,,5973,240,92,32,60,13509,42.546245,1.601554,Western Europe,7,223,6219503114,0.01,99.99,
Greenland,59752,108942,58268,64078,-5810,,560,316,1667,9,1658,-3836,71.706936,-42.604303,Western Europe,7,233,6219503114,0.00,100.00,
